student_id,age,gender,major,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,previous_gpa,semester,stress_level,dropout_risk,social_activity,screen_time,study_environment,access_to_tutoring,family_income_range,parental_support_level,motivation_level,exam_anxiety_score,learning_style,time_management_score,exam_score
100049,22,Male,Arts,0.8,2,2.9,Yes,79.9,6.1,Fair,5,Some College,Low,4.4,No,3.18,2,4.4,No,5,6.3,Quiet Room,No,High,8,2,10,Visual,1.8,84
100050,27,Female,Psychology,7.3,2.1,3.7,No,76,8.4,Fair,4,PhD,Medium,7,Yes,3.52,1,8.1,Yes,4,13.2,Library,No,High,4,3,10,Visual,6.9,79
100051,21,Male,Business,5.3,1.5,1.4,No,74,5.6,Fair,2,Some College,Low,6.5,Yes,3.24,4,7.3,No,2,8.2,Library,No,High,1,2,10,Kinesthetic,7.7,88
100052,18,Female,Business,4,0.4,1.8,Yes,64.9,6.5,Fair,7,PhD,Low,5.3,Yes,4,6,6.3,No,2,7,Co-Learning Group,Yes,Low,6,7,8,Kinesthetic,2,98
100053,16,Male,Engineering,4.4,1.4,0.5,Yes,50.5,6.7,Fair,6,Some College,Low,7.4,Yes,3.13,1,2.1,No,0,7.3,Quiet Room,No,High,9,6,9,Kinesthetic,1.6,70
100054,21,Other,Engineering,5.8,4,2.5,No,45.3,5.8,Good,5,Some College,Medium,9.5,No,4,7,4,No,1,14,Cafe,Yes,Medium,10,7,8,Reading,5.7,100
100055,21,Male,Computer Science,7.447689836,0.5,1,Yes,85.6,7,Good,2,Some College,High,5.5,No,4,2,7.7,No,4,9.3,Co-Learning Group,No,High,8,8,7,Kinesthetic,7.8,98
100056,26,Other,Biology,1.2,4,2.4,No,58.6,7.5,Fair,1,High School,Low,9.6,Yes,3.09,6,7.2,No,4,8.3,Quiet Room,No,Medium,5,2,10,Kinesthetic,6.8,79
100057,28,Other,Computer Science,5.003501877,4.5,1.4,Yes,42.3,4.6,Good,2,Master,High,9.2,No,3.45,8,6.4,No,2,12.3,Dorm,No,High,9,10,5,Reading,2.4,88
100058,26,Other,Computer Science,4.523733655,3.3,3.6,Yes,44.9,6.2,Good,5,Bachelor,High,5.4,No,3.99,6,5.8,No,5,13.2,Quiet Room,Yes,Medium,7,3,10,Reading,6.4,96
100059,28,Female,Psychology,2.2,1.7,3.1,No,49.3,6.6,Fair,2,High School,Medium,5.5,No,3.68,2,8.7,No,1,7.4,Dorm,Yes,High,9,9,6,Auditory,1.3,100
100060,18,Male,Arts,3.3,2.2,1.1,No,54,7,Fair,7,Master,Medium,3.4,Yes,4,3,5.4,No,4,8.1,Cafe,No,Low,6,10,5,Reading,9.9,97
100061,24,Female,Psychology,2.1,4.7,2.8,Yes,57.1,7.9,Good,1,Bachelor,High,9,No,4,4,4,No,2,10.6,Quiet Room,Yes,Medium,9,3,10,Auditory,8.5,100
100062,16,Female,Computer Science,5.130825905,4.2,2.6,No,42.3,5,Good,2,Master,Low,8.6,Yes,2.98,7,6,No,1,13.5,Quiet Room,No,High,3,8,7,Visual,5,75
100063,18,Other,Arts,5.1,3.2,2.5,Yes,75.8,9.1,Poor,7,PhD,Medium,9.2,No,3.73,7,3.6,No,3,10.9,Quiet Room,Yes,High,4,3,10,Reading,3.6,96
100064,18,Other,Arts,4.4,1.9,1.5,No,87.3,6,Fair,5,High School,Medium,3.8,Yes,4,2,6,No,1,9.3,Co-Learning Group,Yes,High,6,3,10,Reading,1.4,99
100065,28,Other,Engineering,4.4,1.5,0.2,Yes,58.9,6.6,Fair,0,Master,High,7.3,Yes,3.52,8,4.2,No,0,6.5,Library,Yes,High,8,5,10,Reading,1.3,83
100066,26,Female,Business,0,1.7,0.7,No,95.5,9.6,Good,5,High School,High,8.1,No,2.85,2,6.4,No,0,3.8,Library,No,High,7,2,10,Reading,4.9,76
100067,21,Other,Business,2,3.6,3.6,No,56.5,8.6,Good,6,High School,High,10,No,3.07,5,7.3,No,4,10.4,Library,Yes,Low,7,6,9,Visual,5.6,79
100068,26,Female,Computer Science,3.205094829,3.4,3.8,Yes,74.4,5.1,Good,1,Master,Medium,5.5,Yes,3.28,3,8.4,No,3,11.1,Quiet Room,No,Medium,5,4,10,Auditory,9.6,86
100069,24,Male,Business,6,0.6,3.4,No,99.8,8.7,Good,7,Bachelor,High,6.7,Yes,4,5,5.3,No,5,10.9,Dorm,No,High,6,2,10,Reading,5.9,97
100070,27,Other,Arts,4.4,2.5,1.4,No,88.2,5.1,Good,7,PhD,Low,6.6,Yes,4,3,4.4,No,4,9.4,Cafe,Yes,Low,2,5,10,Kinesthetic,4.6,96
100071,17,Male,Business,6.5,3.2,0.7,No,70.2,8.6,Good,6,High School,Low,8.7,No,3.65,2,1,No,4,12.3,Dorm,No,High,3,5,10,Auditory,2.5,85
100072,20,Male,Business,1.7,0.8,3.8,No,90.6,7.8,Good,5,High School,High,8.1,Yes,4,4,8.9,No,0,6.6,Library,No,Low,1,10,5,Kinesthetic,3.4,99
100073,23,Other,Biology,2.2,3.4,0.6,No,52.2,9.3,Good,7,Bachelor,High,5.8,No,4,5,4.9,No,0,7,Library,Yes,High,6,6,9,Reading,9.8,100
100074,21,Male,Engineering,5.4,1.9,2.5,No,88.8,5.9,Good,2,Bachelor,Low,3.5,No,4,2,4.5,No,3,10.3,Cafe,Yes,Low,3,8,7,Kinesthetic,10,100
100075,16,Male,Engineering,6.2,4.4,2.6,Yes,90.8,7.3,Fair,0,Bachelor,Low,5.6,Yes,3.86,8,7.9,No,1,14.1,Cafe,No,High,6,7,8,Visual,4.3,98
100076,21,Other,Business,3.6,4.9,1.6,No,73.5,5.6,Fair,5,Some College,High,6.3,No,3.17,2,4.1,No,5,11.7,Quiet Room,No,Low,10,9,6,Visual,4.6,77
100077,21,Female,Biology,3.2,3.1,3.4,Yes,82.5,7.8,Fair,7,High School,High,7.1,Yes,4,8,6.8,No,5,10.9,Co-Learning Group,No,Medium,6,2,10,Reading,9.8,100
100078,27,Other,Computer Science,2.821182835,3.9,1.5,No,41.9,6.5,Good,3,High School,High,8.8,Yes,4,8,4,No,3,9.9,Library,Yes,Low,1,8,7,Kinesthetic,3.8,100
100079,24,Other,Engineering,2.1,4.8,1.8,Yes,80.6,9.2,Good,5,Bachelor,High,3.9,Yes,2.76,1,4.1,No,2,9.8,Dorm,No,High,8,4,10,Reading,9.6,70
100080,28,Female,Arts,0,3.6,1.2,No,93.7,7.6,Fair,6,Bachelor,Medium,8.7,No,4,4,5.8,No,5,5.9,Quiet Room,No,Low,5,1,10,Reading,3.6,96
100081,20,Other,Engineering,6.5,1.2,0.2,Yes,78.3,4,Poor,3,Master,Low,6.9,No,4,4,3.6,No,1,9.7,Library,No,Medium,8,2,10,Visual,7.1,100
100082,22,Other,Engineering,1.3,0.4,2.3,Yes,94.8,7.9,Fair,0,Some College,Medium,7.5,No,2.47,8,1.8,No,4,5.1,Dorm,No,Low,7,8,7,Visual,2.7,53
100083,25,Male,Business,2.7,0.6,0.6,No,83.1,8.5,Poor,4,Bachelor,High,5,No,3.82,5,2.6,No,0,4.8,Cafe,Yes,Medium,10,4,10,Kinesthetic,2.6,96
100084,22,Other,Computer Science,6.946735522,1.3,1.3,Yes,55.7,7.2,Fair,0,Some College,Low,5.2,No,4,3,7.5,No,5,10.7,Cafe,No,Low,2,8,7,Reading,3.8,100
100085,20,Female,Biology,0,1.9,2.8,Yes,85.7,6.8,Good,3,PhD,Low,6.3,Yes,4,4,4.1,No,0,6.5,Dorm,No,Low,9,8,7,Visual,5.8,100
100086,16,Other,Biology,1.2,3.6,2,Yes,88.5,8.8,Fair,7,PhD,High,2.9,Yes,4,4,4.3,No,3,8.6,Cafe,No,Medium,8,10,5,Reading,1.5,100
100087,20,Male,Arts,3.2,0.3,3.6,Yes,41.9,6.4,Fair,7,Some College,Medium,7,Yes,4,4,6.6,No,3,9.1,Cafe,No,High,7,6,9,Kinesthetic,9.9,94
100088,22,Male,Arts,3.2,4.9,3.3,No,67.8,6.9,Good,4,Master,High,6,Yes,2.92,3,6.3,No,5,12.9,Dorm,Yes,High,7,4,10,Auditory,3.2,75
100089,28,Male,Computer Science,5.497784897,3.5,0.2,Yes,66.3,6.7,Good,6,High School,Low,7.1,Yes,4,7,5.3,No,5,10.7,Co-Learning Group,Yes,Low,9,5,10,Reading,3.1,100
100090,21,Male,Business,8.5,4.4,3.6,Yes,73.4,5.9,Poor,6,Bachelor,Medium,2.8,No,3.58,3,7.1,No,3,17.8,Cafe,No,High,7,9,6,Kinesthetic,3.9,94
100091,18,Other,Engineering,6.2,4.8,2.2,Yes,55.3,6.9,Fair,3,High School,Medium,6.4,No,3.46,4,4.7,No,5,13.5,Library,Yes,Medium,6,2,10,Visual,5.8,83
100092,25,Other,Computer Science,6.657019761,0.1,3.7,Yes,84.8,8.4,Good,1,Some College,Low,8.8,Yes,4,2,1.5,No,3,12.4,Library,No,High,10,4,10,Reading,4.6,97
100093,23,Other,Arts,5.7,4,2.9,No,94.9,7.7,Fair,5,Master,High,8.4,No,4,6,4.9,No,4,14.1,Quiet Room,No,Low,10,4,10,Reading,7.7,96
100094,25,Other,Engineering,1.2,2.5,2.6,Yes,85.8,4.8,Fair,4,Master,Low,8.7,Yes,2.65,5,6.7,No,4,7.7,Co-Learning Group,No,Medium,3,6,9,Kinesthetic,2.5,73
100095,26,Male,Biology,5.8,0.3,0.6,Yes,62.4,8.7,Good,7,PhD,Medium,7.6,Yes,3.15,1,3,No,4,7.1,Co-Learning Group,Yes,Medium,8,1,10,Kinesthetic,1.1,84
100096,27,Female,Biology,6.1,1.2,2.5,Yes,56,5.8,Fair,5,Bachelor,Low,10,No,4,5,4.5,No,0,10.3,Library,Yes,Medium,8,10,5,Reading,3.2,97
100097,26,Other,Computer Science,2.40284515,0.4,3.4,No,74,4.4,Good,5,High School,High,3.9,No,2.85,2,6.1,No,0,7.5,Co-Learning Group,No,High,1,4,10,Kinesthetic,2.9,72
100098,26,Female,Biology,1.1,3.6,1.6,Yes,73.8,7.3,Good,2,Master,Low,3.5,No,3.69,1,3.7,No,2,6.5,Library,Yes,High,9,6,9,Visual,4.5,88
100099,16,Male,Engineering,5.6,5,2,Yes,65.9,7.9,Good,6,Master,Medium,6.1,No,3.66,4,3.2,No,3,13.3,Quiet Room,No,Low,10,5,10,Visual,8.2,92
100100,27,Other,Psychology,5.7,1.8,1.1,No,65.9,7.4,Good,2,PhD,Low,7,No,4,7,4.5,No,2,8.9,Co-Learning Group,Yes,Medium,2,1,10,Visual,1.8,100
100101,22,Male,Business,1,0.8,1.1,No,43.8,8.7,Fair,2,Master,High,6,Yes,3.73,7,3.1,No,1,3.4,Library,Yes,Medium,8,2,10,Kinesthetic,4.3,92
100102,23,Male,Psychology,1.1,2.2,1.7,Yes,58,4.9,Good,2,Some College,High,5.7,No,3.39,5,2.9,No,5,6.6,Dorm,No,Medium,6,3,10,Reading,9.7,92
100103,23,Other,Psychology,5.9,3,2.2,No,97.2,4.8,Fair,0,Some College,Medium,5.4,No,2.65,6,5.1,No,2,12.5,Cafe,No,Medium,5,2,10,Kinesthetic,8.4,71
100104,19,Female,Arts,6.3,2,2,No,72.6,7.9,Good,6,Bachelor,Medium,6,No,4,3,6.3,No,5,12.1,Quiet Room,Yes,High,9,10,5,Visual,6.7,100
100105,26,Female,Psychology,5.5,2.6,2.1,No,66.7,6.1,Fair,3,PhD,Low,7.5,No,3.04,1,3.2,No,3,11.4,Quiet Room,No,High,9,3,10,Kinesthetic,4.1,76
100106,17,Male,Arts,4.5,1.7,0.4,No,59.1,9.8,Fair,7,High School,Medium,10,No,3.8,3,5.7,No,4,8,Library,No,Low,6,2,10,Auditory,7.1,89
100107,18,Female,Biology,5.1,2.2,0.1,No,67,7.1,Fair,3,High School,High,9,Yes,4,7,3.1,No,4,8.6,Quiet Room,No,High,4,4,10,Visual,3.5,100
100108,18,Female,Business,5.6,3.2,2.4,No,60.9,5.7,Good,1,PhD,High,10,Yes,3.39,4,4.5,No,2,12.4,Library,No,Low,5,10,5,Reading,6.3,80
100109,17,Male,Business,3,3.2,2.8,No,73.3,8.8,Fair,2,Some College,High,3.6,No,3.68,3,6.2,No,1,10.3,Dorm,Yes,Low,6,8,7,Visual,6.6,94
100110,22,Other,Biology,5.2,0.4,0.1,No,42,6.2,Fair,4,Bachelor,High,6.1,No,4,8,2.3,No,2,7.2,Cafe,No,Low,8,10,5,Visual,7.7,95
100111,28,Other,Business,3.7,1.2,3.5,No,60.9,4.8,Good,4,Master,Low,5.8,Yes,4,1,1,No,4,8.5,Co-Learning Group,No,Low,4,4,10,Reading,8.3,93
100112,26,Female,Psychology,3,2.7,1.3,Yes,74.4,10.4,Good,4,PhD,High,8.4,Yes,4,3,5,No,5,8.4,Cafe,Yes,High,2,3,10,Visual,9.7,100
100113,18,Other,Psychology,3.1,3.2,2.5,Yes,78,5.8,Good,1,High School,High,2.8,No,4,4,1,No,2,9.6,Dorm,Yes,Medium,9,5,10,Kinesthetic,7.3,100
100114,25,Male,Arts,0,4.1,2,No,60.3,7.2,Good,4,PhD,High,9,No,2.43,2,4.9,No,1,6.7,Cafe,Yes,Medium,6,1,10,Visual,1.4,69
100115,23,Female,Computer Science,7.493339985,1.8,0.3,Yes,43.1,5.8,Good,2,Some College,Low,6.5,Yes,2.89,7,5.4,No,1,10.9,Cafe,No,Medium,2,2,10,Visual,1,65
100116,24,Other,Engineering,3.2,1.1,0.4,Yes,58.8,8.1,Good,1,Some College,Medium,7,No,3.79,1,6.8,No,1,6.3,Co-Learning Group,Yes,Medium,3,3,10,Visual,1.6,89
100117,23,Female,Arts,4.8,3.8,2.4,Yes,58.9,8.6,Poor,6,Bachelor,Low,8.3,No,4,4,4.8,No,5,11.8,Co-Learning Group,No,High,2,4,10,Reading,6,100
100118,16,Other,Business,8,4.8,2,Yes,78.3,7.6,Poor,7,High School,High,10,No,3.57,4,10,Yes,5,15,Co-Learning Group,No,Medium,6,3,10,Kinesthetic,4.5,93
100119,18,Female,Computer Science,5.989289999,2.5,2.5,Yes,65.4,4.4,Fair,6,PhD,Low,10,Yes,3.58,1,1.8,No,1,12,Dorm,No,High,10,3,10,Visual,3.5,90
100120,28,Male,Biology,0,1.2,1,No,67.2,6.6,Good,1,Bachelor,High,9.3,Yes,2.31,6,5.5,No,2,4,Library,No,High,3,2,10,Visual,1.1,63
100121,24,Other,Arts,4.3,4.4,3.1,Yes,56.3,5.9,Poor,6,PhD,High,6.2,No,3.85,5,5.5,No,4,11.9,Dorm,Yes,High,2,8,7,Visual,5.1,92
100122,18,Female,Psychology,3.4,4.3,1,Yes,95.2,9.3,Fair,6,High School,High,7,Yes,3.45,5,3.6,No,0,9.6,Cafe,Yes,High,7,4,10,Reading,3.9,86
100123,25,Female,Computer Science,6.782306871,4.2,1.3,Yes,62.1,7.8,Fair,0,Bachelor,Medium,9.4,Yes,4,1,2,No,1,13.4,Co-Learning Group,Yes,High,10,4,10,Kinesthetic,5.2,100
100124,27,Other,Psychology,1.3,3.5,0,Yes,90.9,7.9,Good,6,High School,Low,10,No,4,3,4.3,No,0,5.5,Quiet Room,Yes,Low,9,4,10,Auditory,4.8,98
100125,16,Male,Biology,4.9,4.1,0.3,No,79.7,8.4,Poor,6,Bachelor,High,8,No,3.8,7,6.5,No,1,10.4,Dorm,Yes,Medium,6,7,8,Reading,7.3,97
100126,17,Male,Psychology,2,2.7,3.9,Yes,67.8,10.4,Good,4,High School,Medium,6.1,Yes,2.92,2,10,No,1,9,Dorm,Yes,Low,5,10,5,Auditory,1.4,74
100127,21,Female,Biology,7.8,2.8,2.2,No,88.2,7,Poor,1,High School,Low,5.2,No,4,1,3.9,No,5,13,Cafe,Yes,Low,4,3,10,Reading,2.8,97
100128,17,Other,Biology,5.8,0.6,3.6,Yes,47.4,8,Good,5,High School,Low,2.1,Yes,3.33,5,3.8,No,5,11.7,Cafe,Yes,Low,10,7,8,Kinesthetic,8.4,80
100129,22,Male,Business,4.4,3.1,1,Yes,93,7.8,Fair,6,High School,Medium,4.8,No,4,4,1,No,4,9.1,Co-Learning Group,No,Medium,7,3,10,Auditory,4.8,99
100130,28,Male,Engineering,2,0.9,1.3,No,43.5,5.9,Good,4,PhD,High,8,No,3.73,6,5.9,No,2,4.6,Quiet Room,No,Medium,10,4,10,Auditory,9.8,93
100131,24,Other,Computer Science,5.338105101,1.8,2.4,No,96.9,9.6,Good,5,PhD,Low,6.3,No,3.58,4,5.5,No,1,10.9,Cafe,Yes,Low,8,9,6,Visual,3.8,94
100132,25,Male,Computer Science,4.602424445,4.3,0.2,Yes,86.5,7.2,Good,2,Bachelor,Low,6.8,No,3.36,8,5.9,No,1,9.4,Dorm,Yes,Low,6,7,8,Reading,6.3,87
100133,27,Female,Arts,2.1,1.9,2.9,No,83.7,7.6,Good,2,PhD,Low,6.1,Yes,3.33,8,3,No,0,7.5,Dorm,No,Medium,10,1,10,Auditory,2.6,75
100134,23,Male,Business,0.6,4.1,2.7,Yes,66.8,8.3,Fair,5,Some College,Low,3.4,No,2.71,2,5.1,No,3,8.9,Quiet Room,No,High,2,6,9,Visual,3.3,58
100135,27,Female,Psychology,1.3,3.9,2.3,No,49.8,4,Poor,3,High School,High,6,No,3.09,7,5.1,No,3,9,Quiet Room,No,Medium,1,6,9,Visual,3.4,84
100136,18,Other,Computer Science,6.48975327,0.8,0.4,No,64.6,9.4,Good,3,PhD,Medium,6.7,No,4,2,5.7,No,3,8.1,Quiet Room,Yes,Medium,5,5,10,Kinesthetic,3.1,99
